รหัสจังหวัด,จังหวัด,เขต,หมายเลข,พรรค,คะแนน
96.0,นราธิวาส,3.0,53.0,ไทยพิทักษ์ธรรม,24.0
96.0,นราธิวาส,3.0,54.0,ความหวังใหม่,22.0
96.0,นราธิวาส,3.0,55.0,ไทยรวมไทย,30.0
96.0,นราธิวาส,3.0,56.0,เพื่อบ้านเมือง,30.0
96.0,นราธิวาส,3.0,57.0,พลังไทยรักชาติ,45.0
96.0,นราธิวาส,4.0,1.0,ไทยทรัพย์ทวี,2030.0
96.0,นราธิวาส,4.0,2.0,เพื่อชาติไทย,952.0
96.0,นราธิวาส,4.0,3.0,ใหม่,639.0
96.0,นราธิวาส,4.0,4.0,มิติใหม่,805.0
96.0,นราธิวาส,4.0,5.0,รวมใจไทย,3142.0
96.0,นราธิวาส,4.0,6.0,รวมไทยสร้างชาติ,478.0
96.0,นราธิวาส,4.0,7.0,พลวัต,224.0
96.0,นราธิวาส,4.0,8.0,ประชาธิปไตยใหม่,496.0
96.0,นราธิวาส,4.0,9.0,เพื่อไทย,962.0
96.0,นราธิวาส,4.0,10.0,ทางเลือกใหม่,178.0
96.0,นราธิวาส,4.0,11.0,เศรษฐกิจ,552.0
96.0,นราธิวาส,4.0,12.0,เสรีรวมไทย,100.0
96.0,นราธิวาส,4.0,13.0,รวมพลังประชาชาติ,420.0
96.0,นราธิวาส,4.0,14.0,ท้องที่ไทย,144.0
96.0,นราธิวาส,4.0,15.0,อนาคตไทย,73.0
96.0,นราธิวาส,4.0,16.0,พลังเพื่อไทย,53.0
96.0,นราธิวาส,4.0,17.0,ไทยชนะ,175.0
96.0,นราธิวาส,4.0,18.0,พลังสังคมใหม่,29.0
96.0,นราธิวาส,4.0,19.0,สังคมประชาธิปไตย,40.0
96.0,นราธิวาส,4.0,20.0,ฟิวชั่น,30.0
96.0,นราธิวาส,4.0,21.0,ไทยรวมพลัง,27.0
96.0,นราธิวาส,4.0,22.0,ก้าวอิสระ,62.0
96.0,นราธิวาส,4.0,23.0,ปวงชนไทย,199.0
96.0,นราธิวาส,4.0,24.0,วิชั่นใหม่,113.0
96.0,นราธิวาส,4.0,25.0,เพื่อชีวิตใหม่,62.0
96.0,นราธิวาส,4.0,26.0,คลองไทย,143.0
96.0,นราธิวาส,4.0,27.0,ประชาธิปัตย์,6487.0
96.0,นราธิวาส,4.0,28.0,ไทยก้าวหน้า,58.0
96.0,นราธิวาส,4.0,29.0,ไทยภักดี,164.0
96.0,นราธิวาส,4.0,30.0,แรงงานสร้างชาติ,268.0
96.0,นราธิวาส,4.0,31.0,ประชากรไทย,213.0
96.0,นราธิวาส,4.0,32.0,ครูไทยเพื่อประชาชน,297.0
96.0,นราธิวาส,4.0,33.0,ประชาชาติ,29583.0
96.0,นราธิวาส,4.0,34.0,สร้างอนาคตไทย,445.0
96.0,นราธิวาส,4.0,35.0,รักชาติ,245.0
96.0,นราธิวาส,4.0,36.0,ไทยพร้อม,187.0
96.0,นราธิวาส,4.0,37.0,ภูมิใจไทย,10824.0
96.0,นราธิวาส,4.0,38.0,พลังธรรมใหม่,94.0
96.0,นราธิวาส,4.0,39.0,กรีน,43.0
96.0,นราธิวาส,4.0,40.0,ไทยธรรม,27.0
96.0,นราธิวาส,4.0,41.0,แผ่นดินธรรม,33.0
96.0,นราธิวาส,4.0,42.0,กล้าธรรม,1687.0
96.0,นราธิวาส,4.0,43.0,พลังประชารัฐ,220.0
96.0,นราธิวาส,4.0,44.0,โอกาสใหม่,161.0
96.0,นราธิวาส,4.0,45.0,เป็นธรรม,119.0
96.0,นราธิวาส,4.0,46.0,ประชาชน,17263.0
96.0,นราธิวาส,4.0,47.0,ประชาไทย,189.0
96.0,นราธิวาส,4.0,48.0,ไทยสร้างไทย,50.0
96.0,นราธิวาส,4.0,49.0,ไทยก้าวใหม่,84.0
96.0,นราธิวาส,4.0,50.0,ประชาอาสาชาติ,14.0
96.0,นราธิวาส,4.0,51.0,พร้อม,23.0
96.0,นราธิวาส,4.0,52.0,เครือข่ายชาวนาแห่งประเทศไทย,16.0
96.0,นราธิวาส,4.0,53.0,ไทยพิทักษ์ธรรม,19.0
96.0,นราธิวาส,4.0,54.0,ความหวังใหม่,30.0
96.0,นราธิวาส,4.0,55.0,ไทยรวมไทย,31.0
96.0,นราธิวาส,4.0,56.0,เพื่อบ้านเมือง,88.0
96.0,นราธิวาส,4.0,57.0,พลังไทยรักชาติ,64.0
96.0,นราธิวาส,5.0,1.0,ไทยทรัพย์ทวี,2493.0
96.0,นราธิวาส,5.0,2.0,เพื่อชาติไทย,1172.0
96.0,นราธิวาส,5.0,3.0,ใหม่,641.0
96.0,นราธิวาส,5.0,4.0,มิติใหม่,876.0
96.0,นราธิวาส,5.0,5.0,รวมใจไทย,2849.0
96.0,นราธิวาส,5.0,6.0,รวมไทยสร้างชาติ,496.0
96.0,นราธิวาส,5.0,7.0,พลวัต,315.0
96.0,นราธิวาส,5.0,8.0,ประชาธิปไตยใหม่,470.0
96.0,นราธิวาส,5.0,9.0,เพื่อไทย,1138.0
96.0,นราธิวาส,5.0,10.0,ทางเลือกใหม่,218.0
96.0,นราธิวาส,5.0,11.0,เศรษฐกิจ,405.0
96.0,นราธิวาส,5.0,12.0,เสรีรวมไทย,92.0
96.0,นราธิวาส,5.0,13.0,รวมพลังประชาชาติ,610.0
96.0,นราธิวาส,5.0,14.0,ท้องที่ไทย,58.0
96.0,นราธิวาส,5.0,15.0,อนาคตไทย,72.0
96.0,นราธิวาส,5.0,16.0,พลังเพื่อไทย,84.0
96.0,นราธิวาส,5.0,17.0,ไทยชนะ,178.0
96.0,นราธิวาส,5.0,18.0,พลังสังคมใหม่,39.0
96.0,นราธิวาส,5.0,19.0,สังคมประชาธิปไตย,36.0
96.0,นราธิวาส,5.0,20.0,ฟิวชั่น,33.0
96.0,นราธิวาส,5.0,21.0,ไทยรวมพลัง,74.0
96.0,นราธิวาส,5.0,22.0,ก้าวอิสระ,78.0
96.0,นราธิวาส,5.0,23.0,ปวงชนไทย,286.0
96.0,นราธิวาส,5.0,24.0,วิชั่นใหม่,290.0
96.0,นราธิวาส,5.0,25.0,เพื่อชีวิตใหม่,125.0
96.0,นราธิวาส,5.0,26.0,คลองไทย,178.0
96.0,นราธิวาส,5.0,27.0,ประชาธิปัตย์,6487.0
96.0,นราธิวาส,5.0,28.0,ไทยก้าวหน้า,98.0
96.0,นราธิวาส,5.0,29.0,ไทยภักดี,86.0
96.0,นราธิวาส,5.0,30.0,แรงงานสร้างชาติ,293.0
96.0,นราธิวาส,5.0,31.0,ประชากรไทย,238.0
96.0,นราธิวาส,5.0,32.0,ครูไทยเพื่อประชาชน,323.0
96.0,นราธิวาส,5.0,33.0,ประชาชาติ,34879.0
96.0,นราธิวาส,5.0,34.0,สร้างอนาคตไทย,291.0
96.0,นราธิวาส,5.0,35.0,รักชาติ,215.0
96.0,นราธิวาส,5.0,36.0,ไทยพร้อม,199.0
96.0,นราธิวาส,5.0,37.0,ภูมิใจไทย,6105.0
96.0,นราธิวาส,5.0,38.0,พลังธรรมใหม่,83.0
96.0,นราธิวาส,5.0,39.0,กรีน,56.0
96.0,นราธิวาส,5.0,40.0,ไทยธรรม,35.0
96.0,นราธิวาส,5.0,41.0,แผ่นดินธรรม,50.0
96.0,นราธิวาส,5.0,42.0,กล้าธรรม,2187.0
96.0,นราธิวาส,5.0,43.0,พลังประชารัฐ,259.0
96.0,นราธิวาส,5.0,44.0,โอกาสใหม่,127.0
96.0,นราธิวาส,5.0,45.0,เป็นธรรม,121.0
96.0,นราธิวาส,5.0,46.0,ประชาชน,20739.0
96.0,นราธิวาส,5.0,47.0,ประชาไทย,178.0
96.0,นราธิวาส,5.0,48.0,ไทยสร้างไทย,59.0
96.0,นราธิวาส,5.0,49.0,ไทยก้าวใหม่,103.0
96.0,นราธิวาส,5.0,50.0,ประชาอาสาชาติ,22.0
96.0,นราธิวาส,5.0,51.0,พร้อม,33.0
96.0,นราธิวาส,5.0,52.0,เครือข่ายชาวนาแห่งประเทศไทย,26.0
96.0,นราธิวาส,5.0,53.0,ไทยพิทักษ์ธรรม,19.0
96.0,นราธิวาส,5.0,54.0,ความหวังใหม่,29.0
96.0,นราธิวาส,5.0,55.0,ไทยรวมไทย,26.0
96.0,นราธิวาส,5.0,56.0,เพื่อบ้านเมือง,69.0
96.0,นราธิวาส,5.0,57.0,พลังไทยรักชาติ,55.0
55.0,น่าน,1.0,46.0,ประชาชน,38359.0
55.0,น่าน,1.0,9.0,เพื่อไทย,18728.0
55.0,น่าน,1.0,37.0,ภูมิใจไทย,10406.0
55.0,น่าน,1.0,42.0,กล้าธรรม,5764.0
55.0,น่าน,1.0,27.0,ประชาธิปัตย์,4083.0
55.0,น่าน,1.0,11.0,เศรษฐกิจ,2380.0
55.0,น่าน,1.0,8.0,ประชาธิปไตยใหม่,1643.0
55.0,น่าน,1.0,6.0,รวมไทยสร้างชาติ,1412.0
55.0,น่าน,1.0,1.0,ไทยทรัพย์ทวี,1289.0
55.0,น่าน,1.0,2.0,เพื่อชาติไทย,1170.0
55.0,น่าน,1.0,3.0,ใหม่,1152.0
55.0,น่าน,1.0,18.0,พลังสังคมใหม่,1124.0
55.0,น่าน,1.0,7.0,พลวัต,933.0
55.0,น่าน,1.0,13.0,รวมพลังประชาชาติ,794.0
55.0,น่าน,1.0,49.0,ไทยก้าวใหม่,618.0
55.0,น่าน,1.0,10.0,ทางเลือกใหม่,530.0
55.0,น่าน,1.0,45.0,เป็นธรรม,515.0
55.0,น่าน,1.0,5.0,รวมใจไทย,488.0
55.0,น่าน,1.0,43.0,พลังประชารัฐ,460.0
55.0,น่าน,1.0,4.0,มิติใหม่,353.0
25.0,ปราจีนบุรี,2.0,46.0,ประชาชน,36603.0
25.0,ปราจีนบุรี,2.0,37.0,ภูมิใจไทย,21834.0
25.0,ปราจีนบุรี,2.0,9.0,เพื่อไทย,13415.0
25.0,ปราจีนบุรี,2.0,11.0,เศรษฐกิจ,4627.0
25.0,ปราจีนบุรี,2.0,27.0,ประชาธิปัตย์,4064.0
25.0,ปราจีนบุรี,2.0,3.0,ใหม่,2796.0
25.0,ปราจีนบุรี,2.0,5.0,รวมใจไทย,2453.0
25.0,ปราจีนบุรี,2.0,2.0,เพื่อชาติไทย,2380.0
25.0,ปราจีนบุรี,2.0,6.0,รวมไทยสร้างชาติ,2127.0
25.0,ปราจีนบุรี,2.0,13.0,รวมพลังประชาชาติ,927.0
25.0,ปราจีนบุรี,2.0,12.0,เสรีรวมไทย,813.0
25.0,ปราจีนบุรี,2.0,29.0,ไทยภักดี,698.0
25.0,ปราจีนบุรี,2.0,8.0,ประชาธิปไตยใหม่,633.0
25.0,ปราจีนบุรี,2.0,13.0,รวมพลังประชาชาติ,538.0
25.0,ปราจีนบุรี,2.0,49.0,ไทยก้าวใหม่,348.0
10.0,กรุงเทพมหานคร,15.0,46.0,ประชาชน,40784.0
10.0,กรุงเทพมหานคร,15.0,37.0,ภูมิใจไทย,16276.0
10.0,กรุงเทพมหานคร,15.0,9.0,เพื่อไทย,10792.0
10.0,กรุงเทพมหานคร,15.0,27.0,ประชาธิปัตย์,8780.0
10.0,กรุงเทพมหานคร,15.0,6.0,รวมไทยสร้างชาติ,2554.0
10.0,กรุงเทพมหานคร,15.0,11.0,เศรษฐกิจ,1742.0
10.0,กรุงเทพมหานคร,15.0,29.0,ไทยภักดี,1430.0
10.0,กรุงเทพมหานคร,15.0,48.0,ไทยสร้างไทย,1267.0
10.0,กรุงเทพมหานคร,15.0,49.0,ไทยก้าวใหม่,709.0
10.0,กรุงเทพมหานคร,15.0,12.0,เสรีรวมไทย,402.0
10.0,กรุงเทพมหานคร,15.0,10.0,ทางเลือกใหม่,378.0
10.0,กรุงเทพมหานคร,15.0,8.0,ประชาธิปไตยใหม่,329.0
10.0,กรุงเทพมหานคร,15.0,5.0,รวมใจไทย,236.0
10.0,กรุงเทพมหานคร,15.0,13.0,รวมพลังประชาชาติ,222.0
10.0,กรุงเทพมหานคร,15.0,2.0,เพื่อชาติไทย,213.0
41.0,อุดรธานี,6.0,9.0,เพื่อไทย,21021.0
41.0,อุดรธานี,6.0,46.0,ประชาชน,17891.0
41.0,อุดรธานี,6.0,37.0,ภูมิใจไทย,14088.0
41.0,อุดรธานี,6.0,42.0,กล้าธรรม,3476.0
41.0,อุดรธานี,6.0,11.0,เศรษฐกิจ,3426.0
41.0,อุดรธานี,6.0,5.0,รวมใจไทย,2847.0
41.0,อุดรธานี,6.0,2.0,เพื่อชาติไทย,2538.0
41.0,อุดรธานี,6.0,27.0,ประชาธิปัตย์,1504.0
41.0,อุดรธานี,6.0,1.0,ไทยทรัพย์ทวี,1456.0
41.0,อุดรธานี,6.0,6.0,รวมไทยสร้างชาติ,880.0
41.0,อุดรธานี,6.0,12.0,เสรีรวมไทย,537.0
41.0,อุดรธานี,6.0,3.0,ใหม่,525.0
41.0,อุดรธานี,6.0,48.0,ไทยสร้างไทย,524.0
41.0,อุดรธานี,6.0,13.0,รวมพลังประชาชาติ,518.0
41.0,อุดรธานี,6.0,8.0,ประชาธิปไตยใหม่,370.0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
