รหัสจังหวัด,จังหวัด,เขต,หมายเลข,พรรค,คะแนน
10.0,กรุงเทพมหานคร,2.0,22.0,ก้าวอิสระ,17.0
10.0,กรุงเทพมหานคร,2.0,23.0,ปวงชนไทย,76.0
10.0,กรุงเทพมหานคร,2.0,24.0,วิชั่นใหม่,27.0
10.0,กรุงเทพมหานคร,2.0,25.0,เพื่อชีวิตใหม่,6.0
10.0,กรุงเทพมหานคร,2.0,26.0,คลองไทย,34.0
10.0,กรุงเทพมหานคร,2.0,27.0,ประชาธิปัตย์,11048.0
10.0,กรุงเทพมหานคร,2.0,28.0,ไทยก้าวหน้า,47.0
10.0,กรุงเทพมหานคร,2.0,29.0,ไทยภักดี,2050.0
10.0,กรุงเทพมหานคร,2.0,30.0,แรงงานสร้างชาติ,17.0
10.0,กรุงเทพมหานคร,2.0,31.0,ประชากรไทย,34.0
10.0,กรุงเทพมหานคร,2.0,32.0,ครูไทยเพื่อประชาชน,23.0
10.0,กรุงเทพมหานคร,2.0,33.0,ประชาชาติ,65.0
10.0,กรุงเทพมหานคร,2.0,34.0,สร้างอนาคตไทย,31.0
10.0,กรุงเทพมหานคร,2.0,35.0,รักชาติ,146.0
10.0,กรุงเทพมหานคร,2.0,36.0,ไทยพร้อม,32.0
10.0,กรุงเทพมหานคร,2.0,37.0,ภูมิใจไทย,18021.0
10.0,กรุงเทพมหานคร,2.0,38.0,พลังธรรมใหม่,37.0
10.0,กรุงเทพมหานคร,2.0,39.0,กรีน,108.0
10.0,กรุงเทพมหานคร,2.0,40.0,ไทยธรรม,4.0
10.0,กรุงเทพมหานคร,2.0,41.0,แผ่นดินธรรม,12.0
10.0,กรุงเทพมหานคร,2.0,42.0,กล้าธรรม,270.0
10.0,กรุงเทพมหานคร,2.0,43.0,พลังประชารัฐ,99.0
10.0,กรุงเทพมหานคร,2.0,44.0,โอกาสใหม่,114.0
10.0,กรุงเทพมหานคร,2.0,45.0,เป็นธรรม,154.0
10.0,กรุงเทพมหานคร,2.0,46.0,ประชาชน,40383.0
10.0,กรุงเทพมหานคร,2.0,47.0,ประชาไทย,76.0
10.0,กรุงเทพมหานคร,2.0,48.0,ไทยสร้างไทย,707.0
10.0,กรุงเทพมหานคร,2.0,49.0,ไทยก้าวใหม่,637.0
10.0,กรุงเทพมหานคร,2.0,50.0,ประชาอาสาชาติ,3.0
10.0,กรุงเทพมหานคร,2.0,51.0,พร้อม,17.0
10.0,กรุงเทพมหานคร,2.0,52.0,เครือข่ายชาวนาแห่งประเทศไทย,11.0
10.0,กรุงเทพมหานคร,2.0,53.0,ไทยพิทักษ์ธรรม,3.0
10.0,กรุงเทพมหานคร,2.0,54.0,ความหวังใหม่,12.0
10.0,กรุงเทพมหานคร,2.0,55.0,ไทยรวมไทย,7.0
10.0,กรุงเทพมหานคร,2.0,56.0,เพื่อบ้านเมือง,21.0
