รหัสจังหวัด,จังหวัด,เขต,ผู้ชนะ,พรรค,คะแนน,คะแนนดี,ผู้มีสิทธิ,มาใช้สิทธิ
13,ปทุมธานี,8,นางสาวพรพิมล ธรรมสาร,ภูมิใจไทย,42730,85346,122404.0,92701
14,พระนครศรีอยุธยา,1,นายทรงพล สุขสมบูรณ์,ภูมิใจไทย,46696,97550,140191.0,106326
14,พระนครศรีอยุธยา,2,นายนพ ชีวานันท์,ภูมิใจไทย,53474,94398,128589.0,102658
14,พระนครศรีอยุธยา,3,นางสาวพิมพฤดา ตันจรารักษ์,ภูมิใจไทย,58072,100331,136428.0,107866
14,พระนครศรีอยุธยา,4,นายคงกฤช รามศักดิ์,ภูมิใจไทย,51469,106913,139523.0,114346
14,พระนครศรีอยุธยา,5,นายปะดิธ สังขจาย,ภูมิใจไทย,46623,98383,133055.0,105917
15,อ่างทอง,1,นายภราดร ปริศนานันทกุล,ภูมิใจไทย,56130,79775,111666.0,85616
15,อ่างทอง,2,นายกรวีร์ ปริศนานันทกุล,ภูมิใจไทย,60611,79838,112384.0,86378
16,ลพบุรี,1,นายนรินทร์ คลังผา,ภูมิใจไทย,38126,100109,151712.0,110263
16,ลพบุรี,2,นางสาวมัลลิกา จิระพันธุ์วานิช,ภูมิใจไทย,58141,110045,149672.0,118851
16,ลพบุรี,3,นางสาวกาญจนาพร จิระพันธุ์วาณิช,ภูมิใจไทย,49264,99225,145648.0,105930
16,ลพบุรี,4,นายวรวงศ์ วรปัญญา,เพื่อไทย,50031,108277,149394.0,116195
17,สิงห์บุรี,1,นายโชติวุฒิ ธนาคมานุสรณ์,ภูมิใจไทย,65555,114708,167134.0,127309
18,ชัยนาท,1,นายอนุชา นาคาศัย,เพื่อไทย,36058,80770,132320.0,94469
18,ชัยนาท,2,นายมณเฑียร สงฆ์ประชา,ภูมิใจไทย,54585,84484,130196.0,95079
19,สระบุรี,1,นายขุนทอง แสนวิเศษ,ภูมิใจไทย,31958,88053,128124.0,98444
19,สระบุรี,2,นายอรรถพล วงษ์ประยูร,ภูมิใจไทย,37225,99146,136691.0,107815
19,สระบุรี,3,นายวัชรพงศ์ คูวิจิตรสุวรรณ,ภูมิใจไทย,53967,91451,125851.0,99297
19,สระบุรี,4,นายองอาจ วงษ์ประยูร,กล้าธรรม,48159,90067,128318.0,100197
20,ชลบุรี,1,นายสุชาติ ชมกลิ่น,ภูมิใจไทย,46253,97585,137328.0,104346
